ACE-ORY;3:45
AGA-LYS;3:05
AGA-NTE;3:00
AGA-ORY;3:25
AGP-LYS;2:10
AGP-NTE;2:05
AGP-ORY;2:30
AJA-BES;2:10
AJA-MPL;1:10
AJA-NTE;1:55
ALC-LYS;1:45
ALC-ORY;2:10
ALG-LYS;1:50
ALG-MPL;1:35
ALG-ORY;2:20
AMS-ORY;1:10
ARN-MPL;3:05
ARN-ORY;2:40
ATH-LYS;2:55
ATH-MPL;3:00
ATH-NTE;3:40
ATH-ORY;3:25
AYT-ORY;4:15
BCN-ORY;1:50
BDS-ORY;2:35
BER-MPL;2:05
BER-ORY;1:50
BES-AJA;2:00
BES-BIA;2:10
BES-CLY;2:00
BES-FSC;2:10
BES-MPL;1:35
BES-MRS;1:45
BES-NCE;1:50
BES-ORY;1:20
BES-TLN;1:50
BES-TLS;1:30
BEY-ORY;4:50
BIA-BES;2:10
BIA-FEZ;2:35
BIA-MPL;1:00
BIA-NTE;1:55
BIQ-LIL;1:35
BIQ-ORY;1:25
BRI-LYS;2:00
BRI-NTE;2:45
BRI-ORY;2:25
BUD-ORY;2:15
CAG-ORY;2:15
CFU-NTE;3:10
CFU-ORY;2:50
CHQ-ORY;3:35
CIY-ORY;2:45
CLY-BES;2:00
CLY-MPL;1:05
CLY-NTE;1:45
CMN-NTE;2:40
CMN-ORY;2:55
CTA-ORY;2:45
CZL-ORY;2:15
DBV-NTE;2:50
DBV-ORY;2:25
DJE-LYS;2:20
DJE-MPL;2:05
DJE-NTE;2:50
DJE-ORY;2:55
DUB-ORY;1:50
ESU-ORY;3:10
FAO-LYS;2:20
FAO-NTE;2:00
FAO-ORY;2:35
FCO-NTE;2:25
FCO-ORY;2:00
FEZ-BIA;2:25
FEZ-ORY;2:50
FNC-OPO;1:55
FNC-ORY;3:25
FSC-BES;2:10
FSC-MPL;1:05
FUE-ORY;3:40
HER-LYS;3:10
HER-MPL;3:10
HER-NTE;3:50
HER-ORY;3:35
IBZ-LYS;1:40
IBZ-ORY;2:00
IST-NTE;3:55
JMK-ORY;3:30
JTR-LYS;3:15
JTR-MPL;3:15
JTR-NTE;3:45
JTR-ORY;3:30
KEF-ORY;3:35
KGS-ORY;3:40
KLX-ORY;3:15
LCA-ORY;4:50
LIL-BIQ;1:35
LIL-MPL;1:40
LIS-LYS;2:15
LIS-MPL;2:00
LIS-NTE;1:55
LIS-ORY;2:25
LPA-ORY;3:50
LYS-AGA;3:20
LYS-AGP;2:15
LYS-ALC;1:55
LYS-ALG;1:50
LYS-ATH;2:40
LYS-BRI;1:50
LYS-DJE;2:15
LYS-FAO;2:25
LYS-HER;3:00
LYS-IBZ;1:40
LYS-JTR;2:55
LYS-LIS;2:30
LYS-MAH;1:20
LYS-MIR;1:55
LYS-OLB;1:20
LYS-OPO;2:10
LYS-OUD;2:30
LYS-PMI;1:30
LYS-PMO;1:50
LYS-RAK;3:00
LYS-RHO;3:10
LYS-SVQ;2:05
LYS-TUN;1:50
MAD-ORY;2:00
MAH-LYS;1:20
MAH-NTE;1:55
MAH-ORY;1:55
MIR-LYS;2:05
MIR-NTE;2:40
MIR-ORY;2:40
MPL-AJA;1:00
MPL-ALG;1:30
MPL-ARN;2:55
MPL-ATH;2:40
MPL-BER;2:00
MPL-BES;1:40
MPL-BIA;1:15
MPL-CLY;1:05
MPL-DJE;2:05
MPL-FSC;1:05
MPL-HER;2:55
MPL-JTR;2:50
MPL-LIL;1:35
MPL-LIS;2:15
MPL-NTE;1:30
MPL-PMO;1:45
MPL-RAK;2:50
MPL-RNS;1:30
MPL-SVQ;2:00
MPL-TUN;1:40
MRS-BES;1:50
MRS-NTE;1:30
NAP-ORY;2:15
NBE-ORY;2:35
NCE-BES;1:50
NCE-NTE;1:40
NDR-ORY;2:30
NTE-AGA;3:00
NTE-AGP;2:00
NTE-AJA;1:45
NTE-ATH;3:20
NTE-BIA;1:45
NTE-BRI;2:30
NTE-CFU;3:00
NTE-CLY;1:45
NTE-CMN;2:45
NTE-DBV;2:20
NTE-DJE;2:40
NTE-FAO;2:05
NTE-FCO;2:20
NTE-HER;3:35
NTE-IST;3:40
NTE-JTR;3:30
NTE-LIS;2:00
NTE-MAH;1:40
NTE-MIR;2:30
NTE-MPL;1:30
NTE-MRS;1:30
NTE-NCE;1:35
NTE-OPO;1:40
NTE-PMI;1:45
NTE-PMO;2:25
NTE-RAK;2:45
NTE-RHO;3:45
NTE-SVQ;1:55
NTE-TLN;1:30
NTE-TLS;1:05
NTE-TUN;2:25
NTE-VCE;2:00
OLB-LYS;1:20
OLB-ORY;1:55
OPO-FNC;2:00
OPO-LYS;2:00
OPO-NTE;1:35
OPO-ORY;2:05
ORN-ORY;2:30
ORY-ACE;3:55
ORY-AGA;3:30
ORY-AGP;2:25
ORY-ALC;2:05
ORY-ALG;2:15
ORY-AMS;1:25
ORY-ARN;2:30
ORY-ATH;3:10
ORY-AYT;3:45
ORY-BCN;1:35
ORY-BDS;2:20
ORY-BER;1:50
ORY-BES;1:15
ORY-BEY;4:25
ORY-BIQ;1:25
ORY-BRI;2:20
ORY-BUD;2:10
ORY-CAG;2:15
ORY-CFU;2:40
ORY-CHQ;3:20
ORY-CIY;2:30
ORY-CMN;3:05
ORY-CTA;2:35
ORY-CZL;2:20
ORY-DBV;2:10
ORY-DJE;2:45
ORY-DUB;1:45
ORY-ESU;3:35
ORY-FAO;2:35
ORY-FCO;2:00
ORY-FEZ;2:50
ORY-FNC;3:35
ORY-FUE;4:00
ORY-HER;3:25
ORY-IBZ;2:05
ORY-JMK;3:15
ORY-JTR;3:20
ORY-KEF;3:25
ORY-KGS;3:20
ORY-KLX;3:05
ORY-LCA;4:00
ORY-LIS;2:35
ORY-LPA;4:15
ORY-MAD;2:00
ORY-MAH;1:45
ORY-MIR;2:30
ORY-NAP;2:10
ORY-NBE;2:25
ORY-NDR;2:50
ORY-OLB;1:55
ORY-OPO;2:10
ORY-ORN;2:30
ORY-OUD;2:35
ORY-PMI;1:50
ORY-PMO;2:20
ORY-PRG;1:45
ORY-PVK;2:50
ORY-RAK;3:15
ORY-RBA;2:45
ORY-RHO;3:35
ORY-SCQ;2:05
ORY-SFA;2:35
ORY-SKG;2:50
ORY-SPU;2:05
ORY-SVQ;2:20
ORY-TFS;4:15
ORY-TIA;2:35
ORY-TIV;2:30
ORY-TLN;1:35
ORY-TLV;4:30
ORY-TNG;2:40
ORY-TUN;2:25
ORY-VCE;1:45
ORY-VIE;2:05
ORY-VLC;1:55
ORY-VOL;2:55
ORY-ZAD;1:55
ORY-ZTH;2:50
OUD-LYS;2:20
OUD-ORY;2:40
PMI-LYS;1:25
PMI-NTE;1:40
PMI-ORY;2:00
PMO-LYS;1:55
PMO-MPL;1:45
PMO-NTE;2:35
PMO-ORY;2:30
PRG-ORY;1:50
PVK-ORY;3:00
RAK-LYS;2:55
RAK-MPL;2:50
RAK-NTE;2:50
RAK-ORY;3:15
RBA-ORY;2:45
RHO-LYS;3:30
RHO-NTE;4:05
RHO-ORY;3:50
RNS-MPL;1:20
SCQ-ORY;1:50
SFA-ORY;2:55
SKG-ORY;3:00
SPU-ORY;2:10
SVQ-LYS;2:05
SVQ-MPL;2:00
SVQ-NTE;1:55
SVQ-ORY;2:20
TFS-ORY;4:00
TIA-ORY;2:40
TIV-ORY;2:30
TLN-BES;1:55
TLN-NTE;1:40
TLN-ORY;1:35
TLS-BES;1:25
TLS-NTE;1:10
TLV-ORY;4:55
TNG-ORY;2:30
TUN-LYS;1:55
TUN-MPL;1:40
TUN-NTE;2:25
TUN-ORY;2:30
VCE-NTE;2:10
VIE-ORY;1:55
VLC-ORY;2:00
VOL-ORY;3:05
ZAD-ORY;1:55
ZTH-ORY;3:15
KRK-ORY;2:10
ORY-KRK;2:05